Orthogroup	Desmarestia-dudresnayi_BRAKER_proteins	Desmarestia-herbacea_MALE_proteins	PUBLIC_Ectocarpus-sp7_proteins	PUBLIC_Undaria-pinnatifida_MALE.pep	Schizocladia-ischiensis_proteins	Scytosiphon-promiscuus_MALE_proteins
OG0006948	Ddudresnayi_g15292.t1	prot_D-herbacea_M_contig149.2789.1	Ec-10_002750.1	Upin_00014750	prot_S-ischiensis_contig20.6101.1	prot_S-promiscuus_M_contig9.18763.1
OG0006949	Ddudresnayi_g15298.t1	prot_D-herbacea_M_contig149.2796.1	Ec-10_002800.1	Upin_00014504	prot_S-ischiensis_contig20.6186.1	prot_S-promiscuus_M_contig9.18756.1
OG0006950	Ddudresnayi_g15301.t1	prot_D-herbacea_M_contig149.2799.1	Ec-10_002780.1	Upin_00014502	prot_S-ischiensis_contig20.6069.1	prot_S-promiscuus_M_contig9.18758.1
OG0006951	Ddudresnayi_g15302.t1	prot_D-herbacea_M_contig149.2800.1	Ec-10_002770.1	Upin_00014752	prot_S-ischiensis_contig20.6058.1	prot_S-promiscuus_M_contig9.18759.1
OG0006952	Ddudresnayi_g15312.t1	prot_D-herbacea_M_contig149.2804.1, prot_D-herbacea_M_contig149.2805.1	Ec-10_002860.1	Upin_00014507		prot_S-promiscuus_M_contig9.18750.1
OG0006953	Ddudresnayi_g15323.t1	prot_D-herbacea_M_contig149.2815.1	Ec-10_003320.1	Upin_00015268	prot_S-ischiensis_contig20.6075.1	prot_S-promiscuus_M_contig9.18844.1
OG0006954	Ddudresnayi_g15324.t1	prot_D-herbacea_M_contig149.2816.1	Ec-10_003310.1	Upin_00014510	prot_S-ischiensis_contig31.10040.1	prot_S-promiscuus_M_contig9.18843.1
OG0006955	Ddudresnayi_g15328.t1	prot_D-herbacea_M_contig149.2818.1	Ec-10_003290.1	Upin_00014511	prot_S-ischiensis_contig20.6115.1	prot_S-promiscuus_M_contig9.18842.1
OG0006956	Ddudresnayi_g15329.t1	prot_D-herbacea_M_contig149.2820.1	Ec-10_003270.1	Upin_00015269	prot_S-ischiensis_contig20.6080.1	prot_S-promiscuus_M_contig9.18841.1
OG0006957	Ddudresnayi_g15345.t1	prot_D-herbacea_M_contig149.2832.1	Ec-10_003040.1	Upin_00014514	prot_S-ischiensis_contig20.6084.1	prot_S-promiscuus_M_contig9.18834.1
OG0006958	Ddudresnayi_g15346.t1	prot_D-herbacea_M_contig149.2833.1	Ec-10_003200.1	Upin_00014766	prot_S-ischiensis_contig68.17693.1	prot_S-promiscuus_M_contig9.18835.1
OG0006959	Ddudresnayi_g15347.t1	prot_D-herbacea_M_contig149.2834.1	Ec-10_003650.1	Upin_00014519	prot_S-ischiensis_contig20.6086.1	prot_S-promiscuus_M_contig9.18821.1
OG0006960	Ddudresnayi_g15349.t1	prot_D-herbacea_M_contig149.2835.1	Ec-10_003670.1	Upin_00014768	prot_S-ischiensis_contig20.6085.1	prot_S-promiscuus_M_contig9.18820.1
OG0006961	Ddudresnayi_g15350.t1	prot_D-herbacea_M_contig149.2836.1	Ec-10_003590.1	Upin_00015017	prot_S-ischiensis_contig8.19729.1	prot_S-promiscuus_M_contig9.18833.1
OG0006962	Ddudresnayi_g15351.t1	prot_D-herbacea_M_contig43.10787.1	Ec-10_003570.1	Upin_00015016	prot_S-ischiensis_contig2.5259.1	prot_S-promiscuus_M_contig9.18832.1
OG0006963	Ddudresnayi_g15352.t1, Ddudresnayi_g15353.t1	prot_D-herbacea_M_contig43.10786.1	Ec-10_003560.1	Upin_00014515		prot_S-promiscuus_M_contig9.18831.1
OG0006964	Ddudresnayi_g15355.t1	prot_D-herbacea_M_contig43.10784.1	Ec-10_003630.1	Upin_00014769	prot_S-ischiensis_contig20.6074.1	prot_S-promiscuus_M_contig9.18822.1
OG0006965	Ddudresnayi_g15356.t1	prot_D-herbacea_M_contig43.10783.1	Ec-10_003620.1	Upin_00015019	prot_S-ischiensis_contig2.5169.1	prot_S-promiscuus_M_contig9.18823.1
OG0006966	Ddudresnayi_g15360.t1	prot_D-herbacea_M_contig43.10780.1	Ec-10_003680.1	Upin_00014522	prot_S-ischiensis_contig20.6116.1	prot_S-promiscuus_M_contig9.18819.1
OG0006967	Ddudresnayi_g15364.t1		Ec-05_000610.1, Ec-13_004790.1, Ec-22_001530.1, Ec-24_002540.1			prot_S-promiscuus_M_contig60.16614.1
OG0006968	Ddudresnayi_g15368.t1	prot_D-herbacea_M_contig43.10774.1	Ec-10_002950.1	Upin_00014779	prot_S-ischiensis_contig20.6073.1	prot_S-promiscuus_M_contig9.18790.1
OG0006969	Ddudresnayi_g15370.t1	prot_D-herbacea_M_contig43.10772.1	Ec-10_003350.1	Upin_00014780	prot_S-ischiensis_contig67.17550.1	prot_S-promiscuus_M_contig9.18853.1
OG0006970	Ddudresnayi_g15371.t1	prot_D-herbacea_M_contig43.10771.1	Ec-10_003360.1	Upin_00014534	prot_S-ischiensis_contig67.17607.1	prot_S-promiscuus_M_contig9.18854.1
OG0006971	Ddudresnayi_g15372.t1	prot_D-herbacea_M_contig43.10770.1	Ec-10_002970.1	Upin_00015029	prot_S-ischiensis_contig11.2095.1	prot_S-promiscuus_M_contig9.18791.1
OG0006972	Ddudresnayi_g15376.t1	prot_D-herbacea_M_contig43.10766.1	Ec-10_003170.1	Upin_00014526	prot_S-ischiensis_contig10.1621.1	prot_S-promiscuus_M_contig9.18802.1
OG0006973	Ddudresnayi_g15380.t1	prot_D-herbacea_M_contig43.10760.1	Ec-10_003020.1	Upin_00014776	prot_S-ischiensis_contig1.151.1	prot_S-promiscuus_M_contig9.18798.1
OG0006974	Ddudresnayi_g15388.t1	prot_D-herbacea_M_contig43.10751.1	Ec-10_004010.1	Upin_00014544	prot_S-ischiensis_contig10.1263.1	prot_S-promiscuus_M_contig9.18910.1
OG0006975	Ddudresnayi_g15389.t1	prot_D-herbacea_M_contig43.10750.1	Ec-10_004040.1	Upin_00014543	prot_S-ischiensis_contig10.1361.1	prot_S-promiscuus_M_contig9.18909.1
OG0006976	Ddudresnayi_g15399.t1	prot_D-herbacea_M_contig43.10743.1	Ec-10_004270.1	Upin_00014556	prot_S-ischiensis_contig2.5561.1	prot_S-promiscuus_M_contig9.18926.1
OG0006977	Ddudresnayi_g15404.t1	prot_D-herbacea_M_contig43.10740.1	Ec-10_004540.1	Upin_00015058	prot_S-ischiensis_contig20.6126.1	prot_S-promiscuus_M_contig9.18950.1
OG0006978	Ddudresnayi_g15405.t1	prot_D-herbacea_M_contig43.10738.1	Ec-10_004530.1	Upin_00014812	prot_S-ischiensis_contig20.6190.1	prot_S-promiscuus_M_contig9.18949.1
OG0006979	Ddudresnayi_g15406.t1	prot_D-herbacea_M_contig43.10736.1		Upin_00014668, Upin_00014669, Upin_00014670, Upin_00015481		
OG0006980	Ddudresnayi_g15408.t1	prot_D-herbacea_M_contig43.10731.1	Ec-10_004340.1	Upin_00014554	prot_S-ischiensis_contig67.17555.1	prot_S-promiscuus_M_contig9.18933.1
OG0006981	Ddudresnayi_g15411.t1	prot_D-herbacea_M_contig43.10729.1	Ec-10_004250.1	Upin_00014814	prot_S-ischiensis_contig67.17559.1	prot_S-promiscuus_M_contig9.18929.1
OG0006982	Ddudresnayi_g15412.t1, Ddudresnayi_g15413.t1, Ddudresnayi_g15414.t1, Ddudresnayi_g15426.t1, Ddudresnayi_g15439.t1, Ddudresnayi_g25839.t1					
OG0006983	Ddudresnayi_g15422.t1	prot_D-herbacea_M_contig43.10725.1	Ec-10_004400.1	Upin_00014550	prot_S-ischiensis_contig67.17595.1	prot_S-promiscuus_M_contig9.18951.1
OG0006984	Ddudresnayi_g15423.t1	prot_D-herbacea_M_contig43.10724.1	Ec-10_004410.1	Upin_00014549	prot_S-ischiensis_contig11.2097.1	prot_S-promiscuus_M_contig9.18947.1
OG0006985	Ddudresnayi_g15424.t1	prot_D-herbacea_M_contig43.10723.1	Ec-10_004420.1	Upin_00014809	prot_S-ischiensis_contig11.2098.1	prot_S-promiscuus_M_contig9.18946.1
OG0006986	Ddudresnayi_g15425.t1	prot_D-herbacea_M_contig43.10722.1	Ec-10_004440.1	Upin_00014548	prot_S-ischiensis_contig11.2080.1	prot_S-promiscuus_M_contig9.18945.1
OG0006987	Ddudresnayi_g15430.t1, Ddudresnayi_g15431.t1	prot_D-herbacea_M_contig43.10718.1	Ec-10_004450.1	Upin_00015053		prot_S-promiscuus_M_contig9.18943.1
OG0006988	Ddudresnayi_g15432.t1	prot_D-herbacea_M_contig43.10719.1	Ec-10_004460.1	Upin_00014808	prot_S-ischiensis_contig11.2342.1	prot_S-promiscuus_M_contig9.18942.1
OG0006989	Ddudresnayi_g15447.t1	prot_D-herbacea_M_contig55.12627.1	Ec-10_004590.1	Upin_00014562	prot_S-ischiensis_contig57.15851.1	prot_S-promiscuus_M_contig9.18970.1
OG0006990	Ddudresnayi_g15454.t1, Ddudresnayi_g15460.t1, Ddudresnayi_g15463.t1	prot_D-herbacea_M_contig55.12639.1			prot_S-ischiensis_contig24.7598.1	prot_S-promiscuus_M_contig9.18984.1
OG0006991	Ddudresnayi_g15455.t1	prot_D-herbacea_M_contig55.12632.1	Ec-10_004740.1	Upin_00014820	prot_S-ischiensis_contig15.3905.1	prot_S-promiscuus_M_contig9.18975.1
OG0006992	Ddudresnayi_g15457.t1	prot_D-herbacea_M_contig55.12634.1	Ec-10_004650.1	Upin_00014821	prot_S-ischiensis_contig57.15849.1	prot_S-promiscuus_M_contig9.18981.1
OG0006993	Ddudresnayi_g15459.t1	prot_D-herbacea_M_contig55.12635.1	Ec-10_004660.1	Upin_00015067	prot_S-ischiensis_contig68.17658.1	prot_S-promiscuus_M_contig9.18980.1
OG0006994	Ddudresnayi_g15464.t1	prot_D-herbacea_M_contig55.12641.1	Ec-10_004830.1	Upin_00015315	prot_S-ischiensis_contig2.5557.1	prot_S-promiscuus_M_contig9.18985.1
OG0006995	Ddudresnayi_g15468.t1	prot_D-herbacea_M_contig55.12644.1	Ec-10_005300.1	Upin_00014824, Upin_00015071		prot_S-promiscuus_M_contig9.19017.1
OG0006996	Ddudresnayi_g15471.t1	prot_D-herbacea_M_contig55.12647.1	Ec-10_005270.1	Upin_00014572	prot_S-ischiensis_contig22.6828.1	prot_S-promiscuus_M_contig9.19018.1
OG0006997	Ddudresnayi_g15482.t1	prot_D-herbacea_M_contig55.12657.1	Ec-10_005120.1	Upin_00014827	prot_S-ischiensis_contig2.5271.1	prot_S-promiscuus_M_contig9.19009.1
OG0006998	Ddudresnayi_g15486.t1	prot_D-herbacea_M_contig55.12659.1	Ec-10_005080.1	Upin_00014829	prot_S-ischiensis_contig67.17551.1	prot_S-promiscuus_M_contig9.19006.1
OG0006999	Ddudresnayi_g15490.t1	prot_D-herbacea_M_contig55.12664.1	Ec-10_005000.1, Ec-10_005010.1	Upin_00014832		prot_S-promiscuus_M_contig9.19000.1
OG0007000	Ddudresnayi_g15491.t1	prot_D-herbacea_M_contig55.12665.1	Ec-10_004990.1, Ec-10_004990.2		prot_S-ischiensis_contig14.3452.1	prot_S-promiscuus_M_contig9.18999.1
OG0007001	Ddudresnayi_g15492.t1	prot_D-herbacea_M_contig55.12666.1	Ec-10_004960.1	Upin_00014577	prot_S-ischiensis_contig14.3332.1	prot_S-promiscuus_M_contig9.18995.1
OG0007002	Ddudresnayi_g15499.t1	prot_D-herbacea_M_contig55.12668.1	Ec-10_004950.1	Upin_00014834	prot_S-ischiensis_contig31.9865.1	prot_S-promiscuus_M_contig9.18994.1
OG0007003	Ddudresnayi_g15506.t1	prot_D-herbacea_M_contig55.12672.1	Ec-10_004900.1	Upin_00014835	prot_S-ischiensis_contig14.3407.1	prot_S-promiscuus_M_contig9.18990.1
OG0007004	Ddudresnayi_g15508.t1	prot_D-herbacea_M_contig55.12674.1	Ec-10_005250.1	Upin_00015328	prot_S-ischiensis_contig2.5240.1	prot_S-promiscuus_M_contig9.19024.1
OG0007005	Ddudresnayi_g15509.t1	prot_D-herbacea_M_contig55.12675.1	Ec-10_005240.1	Upin_00014581	prot_S-ischiensis_contig2.5246.1	prot_S-promiscuus_M_contig9.19023.1
OG0007006	Ddudresnayi_g15510.t1	prot_D-herbacea_M_contig55.12676.1	Ec-10_005260.1	Upin_00014580	prot_S-ischiensis_contig2.5244.1	prot_S-promiscuus_M_contig9.19019.1
OG0007007	Ddudresnayi_g15511.t1, Ddudresnayi_g15512.t1	prot_D-herbacea_M_contig55.12677.1	Ec-10_005190.1	Upin_00015083		prot_S-promiscuus_M_contig9.19021.1
OG0007008	Ddudresnayi_g15514.t1	prot_D-herbacea_M_contig55.12679.1	Ec-10_005340.1	Upin_00014839	prot_S-ischiensis_contig2.5553.1	prot_S-promiscuus_M_contig9.19027.1
OG0007009	Ddudresnayi_g15515.t1	prot_D-herbacea_M_contig55.12680.1	Ec-10_005320.1	Upin_00014582	prot_S-ischiensis_contig2.5552.1	prot_S-promiscuus_M_contig9.19025.1
OG0007010	Ddudresnayi_g15524.t1	prot_D-herbacea_M_contig125.1707.1	Ec-10_005560.1	Upin_00014589	prot_S-ischiensis_contig56.15673.1	prot_S-promiscuus_M_contig9.19046.1
OG0007011	Ddudresnayi_g15528.t1	prot_D-herbacea_M_contig125.1710.1	Ec-10_005530.1	Upin_00014848	prot_S-ischiensis_contig31.10047.1	prot_S-promiscuus_M_contig9.19042.1
OG0007012	Ddudresnayi_g15535.t1	prot_D-herbacea_M_contig125.1718.1	Ec-10_005360.1	Upin_00014843	prot_S-ischiensis_contig64.17264.1	prot_S-promiscuus_M_contig9.19035.1
OG0007013	Ddudresnayi_g15536.t1	prot_D-herbacea_M_contig125.1719.1	Ec-10_005370.1	Upin_00014585	prot_S-ischiensis_contig49.13896.1	prot_S-promiscuus_M_contig9.19034.1
OG0007014	Ddudresnayi_g15537.t1	prot_D-herbacea_M_contig125.1720.1	Ec-10_005390.1	Upin_00014841	prot_S-ischiensis_contig49.13897.1	prot_S-promiscuus_M_contig9.19033.1
OG0007015	Ddudresnayi_g15539.t1	prot_D-herbacea_M_contig125.1722.1	Ec-10_005400.1	Upin_00014584	prot_S-ischiensis_contig49.13895.1	prot_S-promiscuus_M_contig9.19032.1
OG0007016	Ddudresnayi_g15540.t1	prot_D-herbacea_M_contig125.1723.1	Ec-10_006400.1	Upin_00015345	prot_S-ischiensis_contig31.10056.1	prot_S-promiscuus_M_contig9.19099.1
OG0007017	Ddudresnayi_g15552.t1	prot_D-herbacea_M_contig125.1729.1	Ec-10_006190.1	Upin_00014856	prot_S-ischiensis_contig49.13904.1	prot_S-promiscuus_M_contig9.19116.1
OG0007018	Ddudresnayi_g15553.t1	prot_D-herbacea_M_contig125.1730.1	Ec-10_006200.1	Upin_00014597	prot_S-ischiensis_contig49.13976.1	prot_S-promiscuus_M_contig9.19115.1
OG0007019	Ddudresnayi_g15554.t1	prot_D-herbacea_M_contig125.1732.1	Ec-10_006220.1	Upin_00014855	prot_S-ischiensis_contig49.13966.1	prot_S-promiscuus_M_contig9.19114.1
OG0007020	Ddudresnayi_g15557.t1	prot_D-herbacea_M_contig125.1735.1	Ec-10_006250.1	Upin_00014595	prot_S-ischiensis_contig49.13971.1	prot_S-promiscuus_M_contig9.19102.1
OG0007021	Ddudresnayi_g15558.t1	prot_D-herbacea_M_contig125.1736.1	Ec-10_006260.1	Upin_00014853	prot_S-ischiensis_contig11.2099.1	prot_S-promiscuus_M_contig9.19103.1
OG0007022	Ddudresnayi_g15563.t1	prot_D-herbacea_M_contig125.1740.1	Ec-10_006130.1	Upin_00014857	prot_S-ischiensis_contig56.15675.1	prot_S-promiscuus_M_contig9.19120.1
OG0007023	Ddudresnayi_g15569.t1	prot_D-herbacea_M_contig125.1744.1	Ec-10_006110.1	Upin_00014859	prot_S-ischiensis_contig11.2092.1	prot_S-promiscuus_M_contig9.19091.1
OG0007024	Ddudresnayi_g15576.t1	prot_D-herbacea_M_contig125.1748.1	Ec-10_006030.1	Upin_00015108	prot_S-ischiensis_contig6.16641.1	prot_S-promiscuus_M_contig9.19087.1
OG0007025	Ddudresnayi_g15583.t1	prot_D-herbacea_M_contig631.13627.1	Ec-10_005970.1	Upin_00014866	prot_S-ischiensis_contig20.6178.1	prot_S-promiscuus_M_contig9.19078.1
OG0007026	Ddudresnayi_g15585.t1	prot_D-herbacea_M_contig631.13629.1	Ec-10_005950.1	Upin_00014605	prot_S-ischiensis_contig20.6201.1	prot_S-promiscuus_M_contig9.19076.1
OG0007027	Ddudresnayi_g15589.t1	prot_D-herbacea_M_contig631.13632.1	Ec-10_005710.1	Upin_00014607	prot_S-ischiensis_contig20.6060.1	prot_S-promiscuus_M_contig9.19059.1
OG0007028	Ddudresnayi_g15594.t1	prot_D-herbacea_M_contig321.8661.1	Ec-10_005740.1	Upin_00014612	prot_S-ischiensis_contig19.5056.1	prot_S-promiscuus_M_contig9.19064.1
OG0007029	Ddudresnayi_g15597.t1	prot_D-herbacea_M_contig321.8660.1	Ec-10_005800.1	Upin_00014869	prot_S-ischiensis_contig2.5239.1	prot_S-promiscuus_M_contig9.19068.1
OG0007030	Ddudresnayi_g15602.t1	prot_D-herbacea_M_contig321.8658.1	Ec-10_005810.1	Upin_00014870	prot_S-ischiensis_contig20.6202.1	prot_S-promiscuus_M_contig9.19069.1
OG0007031	Ddudresnayi_g15605.t1	prot_D-herbacea_M_contig321.8656.1	Ec-10_005840.1	Upin_00014872	prot_S-ischiensis_contig1.725.1	prot_S-promiscuus_M_contig9.19071.1
OG0007032	Ddudresnayi_g15611.t1	prot_D-herbacea_M_contig291.7884.1	Ec-10_005690.1	Upin_00014617	prot_S-ischiensis_contig20.6110.1	prot_S-promiscuus_M_contig9.19058.1
OG0007033	Ddudresnayi_g15613.t1	prot_D-herbacea_M_contig291.7886.1	Ec-10_005680.1	Upin_00014875	prot_S-ischiensis_contig20.6121.1	prot_S-promiscuus_M_contig9.19057.1
OG0007034	Ddudresnayi_g15628.t1	prot_D-herbacea_M_contig291.7893.1	Ec-10_005590.1	Upin_00014621	prot_S-ischiensis_contig11.2339.1	prot_S-promiscuus_M_contig9.19048.1
OG0007035	Ddudresnayi_g15630.t1, Ddudresnayi_g15631.t1, Ddudresnayi_g15631.t2		Ec-09_004250.1	Upin_00014878		prot_S-promiscuus_M_contig1.464.1
OG0007036	Ddudresnayi_g15639.t1	prot_D-herbacea_M_contig291.7896.1	Ec-10_006360.1	Upin_00014624	prot_S-ischiensis_contig31.10061.1	prot_S-promiscuus_M_contig9.19094.1
OG0007037	Ddudresnayi_g15691.t1	prot_D-herbacea_M_contig172.3938.1	Ec-24_000130.1	Upin_00016356	prot_S-ischiensis_contig81.19892.1	prot_S-promiscuus_M_contig65.16859.1
OG0007038	Ddudresnayi_g15692.t1	prot_D-herbacea_M_contig172.3937.1	Ec-24_000110.1	Upin_00016482	prot_S-ischiensis_contig81.19868.1	prot_S-promiscuus_M_contig65.16860.1
OG0007039	Ddudresnayi_g15693.t1	prot_D-herbacea_M_contig172.3936.1	Ec-24_000090.1	Upin_00016199	prot_S-ischiensis_contig53.15078.1	prot_S-promiscuus_M_contig65.16851.1
OG0007040	Ddudresnayi_g15712.t1	prot_D-herbacea_M_contig172.3931.1	Ec-24_000190.1	Upin_00016195	prot_S-ischiensis_contig7.18158.1	prot_S-promiscuus_M_contig65.16845.1
OG0007041	Ddudresnayi_g15720.t1	prot_D-herbacea_M_contig172.3927.1	Ec-24_000170.1	Upin_00016197	prot_S-ischiensis_contig107.1896.1	prot_S-promiscuus_M_contig65.16843.1
OG0007042	Ddudresnayi_g15723.t1	prot_D-herbacea_M_contig172.3921.1	Ec-24_000360.1	Upin_00016194	prot_S-ischiensis_contig7.18339.1	prot_S-promiscuus_M_contig65.16864.1
OG0007043	Ddudresnayi_g15725.t1	prot_D-herbacea_M_contig172.3920.1	Ec-24_000330.1	Upin_00016351	prot_S-ischiensis_contig20.5898.1	prot_S-promiscuus_M_contig65.16867.1
OG0007044	Ddudresnayi_g15726.t1	prot_D-herbacea_M_contig172.3918.1	Ec-24_000340.1	Upin_00016352	prot_S-ischiensis_contig7.18342.1	prot_S-promiscuus_M_contig65.16866.1
OG0007045	Ddudresnayi_g15728.t1	prot_D-herbacea_M_contig481.11561.1	Ec-24_000290.1	Upin_00016472	prot_S-ischiensis_contig90.20858.1	prot_S-promiscuus_M_contig65.16871.1
OG0007046	Ddudresnayi_g15729.t1	prot_D-herbacea_M_contig481.11560.1	Ec-24_000320.1	Upin_00016350	prot_S-ischiensis_contig78.19072.1	prot_S-promiscuus_M_contig65.16870.1
OG0007047	Ddudresnayi_g15730.t1	prot_D-herbacea_M_contig481.11559.1	Ec-24_000310.1	Upin_00016193	prot_S-ischiensis_contig7.18226.1	prot_S-promiscuus_M_contig65.16869.1
OG0007048	Ddudresnayi_g15743.t1	prot_D-herbacea_M_contig31.8340.1	Ec-24_000430.1	Upin_00016342	prot_S-ischiensis_contig7.18337.1	prot_S-promiscuus_M_contig44.13529.1
OG0007049	Ddudresnayi_g15744.t1	prot_D-herbacea_M_contig31.8341.1	Ec-24_000460.1, Ec-24_000460.2	Upin_00016190		prot_S-promiscuus_M_contig44.13523.1
OG0007050	Ddudresnayi_g15750.t1	prot_D-herbacea_M_contig31.8343.1	Ec-24_000500.1	Upin_00016188	prot_S-ischiensis_contig6.16194.1	prot_S-promiscuus_M_contig44.13517.1
OG0007051	Ddudresnayi_g15751.t1	prot_D-herbacea_M_contig31.8344.1	Ec-24_000510.1	Upin_00016340	prot_S-ischiensis_contig81.19889.1	prot_S-promiscuus_M_contig44.13518.1
OG0007052	Ddudresnayi_g15752.t1	prot_D-herbacea_M_contig31.8347.1	Ec-24_000520.1	Upin_00016339	prot_S-ischiensis_contig7.18147.1	prot_S-promiscuus_M_contig44.13519.1
OG0007053	Ddudresnayi_g15758.t1	prot_D-herbacea_M_contig31.8354.1	Ec-24_000560.1	Upin_00016604	prot_S-ischiensis_contig7.18364.1	prot_S-promiscuus_M_contig44.13515.1
OG0007054	Ddudresnayi_g15760.t1	prot_D-herbacea_M_contig31.8355.1	Ec-24_000580.1	Upin_00016338	prot_S-ischiensis_contig7.18365.1	prot_S-promiscuus_M_contig44.13514.1
OG0007055	Ddudresnayi_g15764.t1	prot_D-herbacea_M_contig31.8358.1	Ec-24_000600.1	Upin_00016183	prot_S-ischiensis_contig15.3575.1	prot_S-promiscuus_M_contig44.13510.1
OG0007056	Ddudresnayi_g15767.t1	prot_D-herbacea_M_contig31.8360.1	Ec-24_000620.1	Upin_00016334	prot_S-ischiensis_contig54.15222.1	prot_S-promiscuus_M_contig44.13508.1
OG0007057	Ddudresnayi_g15768.t1	prot_D-herbacea_M_contig31.8361.1	Ec-24_000630.1	Upin_00016182	prot_S-ischiensis_contig7.18383.1	prot_S-promiscuus_M_contig44.13507.1
OG0007058	Ddudresnayi_g15770.t1	prot_D-herbacea_M_contig31.8363.1	Ec-24_000650.1	Upin_00016332	prot_S-ischiensis_contig54.15216.1	prot_S-promiscuus_M_contig44.13505.1
OG0007059	Ddudresnayi_g15771.t1	prot_D-herbacea_M_contig31.8364.1	Ec-24_000870.1	Upin_00016331	prot_S-ischiensis_contig54.15215.1	prot_S-promiscuus_M_contig44.13460.1
OG0007060	Ddudresnayi_g15772.t1	prot_D-herbacea_M_contig31.8365.1	Ec-24_000860.1	Upin_00016181	prot_S-ischiensis_contig7.18381.1	prot_S-promiscuus_M_contig44.13474.1
OG0007061	Ddudresnayi_g15773.t1	prot_D-herbacea_M_contig31.8366.1	Ec-24_000850.1	Upin_00016330	prot_S-ischiensis_contig7.18390.1	prot_S-promiscuus_M_contig44.13475.1
OG0007062	Ddudresnayi_g15774.t1	prot_D-herbacea_M_contig31.8367.1	Ec-24_000840.1	Upin_00016180	prot_S-ischiensis_contig52.15033.1	prot_S-promiscuus_M_contig44.13476.1
OG0007063	Ddudresnayi_g15775.t1, Ddudresnayi_g15775.t2	prot_D-herbacea_M_contig31.8368.1	Ec-24_000835.1	Upin_00016329	prot_S-ischiensis_contig54.15185.1	
OG0007064	Ddudresnayi_g15776.t1	prot_D-herbacea_M_contig31.8369.1	Ec-24_000830.1	Upin_00016459	prot_S-ischiensis_contig54.15197.1	prot_S-promiscuus_M_contig44.13478.1
OG0007065	Ddudresnayi_g15777.t1	prot_D-herbacea_M_contig31.8370.1	Ec-24_000820.1	Upin_00016458	prot_S-ischiensis_contig54.15188.1	prot_S-promiscuus_M_contig44.13480.1
OG0007066	Ddudresnayi_g15778.t1	prot_D-herbacea_M_contig31.8372.1	Ec-24_000810.1	Upin_00016328	prot_S-ischiensis_contig7.18402.1	prot_S-promiscuus_M_contig44.13481.1
OG0007067	Ddudresnayi_g15780.t1	prot_D-herbacea_M_contig31.8373.1	Ec-16_003700.1	Upin_00016595	prot_S-ischiensis_contig7.18394.1	prot_S-promiscuus_M_contig23.6740.1
OG0007068	Ddudresnayi_g15783.t1	prot_D-herbacea_M_contig31.8374.1	Ec-24_000790.1	Upin_00016326	prot_S-ischiensis_contig7.18392.1	prot_S-promiscuus_M_contig44.13483.1
OG0007069	Ddudresnayi_g15785.t1	prot_D-herbacea_M_contig31.8377.1	Ec-24_000780.1	Upin_00016325	prot_S-ischiensis_contig54.15194.1	prot_S-promiscuus_M_contig44.13484.1
OG0007070	Ddudresnayi_g15786.t1	prot_D-herbacea_M_contig31.8376.1	Ec-24_000770.1	Upin_00016176	prot_S-ischiensis_contig54.15195.1	prot_S-promiscuus_M_contig44.13485.1
OG0007071	Ddudresnayi_g15791.t1	prot_D-herbacea_M_contig31.8381.1	Ec-24_000690.1	Upin_00016454	prot_S-ischiensis_contig54.15193.1	prot_S-promiscuus_M_contig44.13501.1
OG0007072	Ddudresnayi_g15792.t1	prot_D-herbacea_M_contig31.8382.1	Ec-24_000680.2	Upin_00016323	prot_S-ischiensis_contig113.2452.1	prot_S-promiscuus_M_contig44.13502.1
OG0007073	Ddudresnayi_g15793.t1	prot_D-herbacea_M_contig31.8383.1	Ec-24_000670.1	Upin_00016453	prot_S-ischiensis_contig54.15207.1	prot_S-promiscuus_M_contig44.13503.1
OG0007074	Ddudresnayi_g15798.t1, Ddudresnayi_g15799.t1	prot_D-herbacea_M_contig31.8388.1		Upin_00016321	prot_S-ischiensis_contig54.15214.1	prot_S-promiscuus_M_contig44.13471.1
OG0007075	Ddudresnayi_g15800.t1	prot_D-herbacea_M_contig31.8389.1	Ec-24_000920.1	Upin_00016173	prot_S-ischiensis_contig54.15201.1	prot_S-promiscuus_M_contig44.13472.1
OG0007076	Ddudresnayi_g15801.t1	prot_D-herbacea_M_contig31.8390.1	Ec-24_001000.1	Upin_00016169	prot_S-ischiensis_contig54.15189.1	prot_S-promiscuus_M_contig44.13464.1
OG0007077	Ddudresnayi_g15806.t1	prot_D-herbacea_M_contig31.8393.1	Ec-24_000980.1	Upin_00016319	prot_S-ischiensis_contig54.15202.1	prot_S-promiscuus_M_contig44.13466.1
OG0007078	Ddudresnayi_g15809.t1	prot_D-herbacea_M_contig31.8395.1	Ec-24_001010.1	Upin_00016168	prot_S-ischiensis_contig54.15191.1	prot_S-promiscuus_M_contig44.13462.1
OG0007079	Ddudresnayi_g15810.t1	prot_D-herbacea_M_contig31.8396.1	Ec-24_001030.1	Upin_00016167	prot_S-ischiensis_contig7.18380.1	prot_S-promiscuus_M_contig44.13461.1
OG0007080	Ddudresnayi_g15811.t1	prot_D-herbacea_M_contig31.8397.1	Ec-24_001050.1	Upin_00016317	prot_S-ischiensis_contig7.18386.1	prot_S-promiscuus_M_contig44.13452.1
OG0007081	Ddudresnayi_g15814.t1	prot_D-herbacea_M_contig31.8400.1	Ec-24_001070.1	Upin_00016316	prot_S-ischiensis_contig7.18264.1	prot_S-promiscuus_M_contig61.16717.1
